"","Latitude","Longitude","Date","MODIS_Tile","MOD13A1_006_Line_Y_500m","MOD13A1_006_Sample_X_500m","MOD13A1_006__500m_16_days_NDVI","MOD13A1_006__500m_16_days_VI_Quality","MOD13A1_006__500m_16_days_VI_Quality_bitmask","MOD13A1_006__500m_16_days_VI_Quality_MODLAND","MOD13A1_006__500m_16_days_VI_Quality_MODLAND_Description","MOD13A1_006__500m_16_days_VI_Quality_VI_Usefulness","MOD13A1_006__500m_16_days_VI_Quality_VI_Usefulness_Description","MOD13A1_006__500m_16_days_VI_Quality_Aerosol_Quantity","MOD13A1_006__500m_16_days_VI_Quality_Aerosol_Quantity_Description","MOD13A1_006__500m_16_days_VI_Quality_Adjacent_cloud_detected","MOD13A1_006__500m_16_days_VI_Quality_Adjacent_cloud_detected_Description","MOD13A1_006__500m_16_days_VI_Quality_Atmosphere_BRDF_Correction","MOD13A1_006__500m_16_days_VI_Quality_Atmosphere_BRDF_Correction_Description","MOD13A1_006__500m_16_days_VI_Quality_Mixed_Clouds","MOD13A1_006__500m_16_days_VI_Quality_Mixed_Clouds_Description","MOD13A1_006__500m_16_days_VI_Quality_Land.Water_Mask","MOD13A1_006__500m_16_days_VI_Quality_Land.Water_Mask_Description","MOD13A1_006__500m_16_days_VI_Quality_Possible_snow.ice","MOD13A1_006__500m_16_days_VI_Quality_Possible_snow.ice_Description","MOD13A1_006__500m_16_days_VI_Quality_Possible_shadow","MOD13A1_006__500m_16_days_VI_Quality_Possible_shadow_Description","lon","lat","flag_br","flag_norte","flag_nordeste","flag_sul","flag_sudeste","flag_centroeste"
"4729",-20.24708176,-50.48970795,"2019-12-19","h13v11",59,631,0.6953,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4730",-20.24708176,-50.48970795,"2020-01-01","h13v11",59,631,0.7559,2376,"0b0000100101001000","0b00","VI produced with good quality","0b0010","Decreasing quality (0010)","0b01","Low","0b1","Yes","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4731",-20.24708176,-50.48970795,"2020-01-17","h13v11",59,631,0.7297,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4732",-20.24708176,-50.48970795,"2020-02-02","h13v11",59,631,0.7259,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4733",-20.24708176,-50.48970795,"2020-02-18","h13v11",59,631,0.7503,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4734",-20.24708176,-50.48970795,"2020-03-05","h13v11",59,631,0.7196,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4735",-20.24708176,-50.48970795,"2020-03-21","h13v11",59,631,0.7186,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4736",-20.24708176,-50.48970795,"2020-04-06","h13v11",59,631,0.6682,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4737",-20.24708176,-50.48970795,"2020-04-22","h13v11",59,631,0.6301,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4738",-20.24708176,-50.48970795,"2020-05-08","h13v11",59,631,0.5819,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
